ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300750.SZ,20201009,219.99,228.88,219.77,224.87,209.2,15.67,7.4904,239592.41,5376329.911,0.072231725
300750.SZ,20201012,228,235,227.3,234.78,224.87,9.91,4.407,189382.22,4398493.906,0.043126448
300750.SZ,20201013,234.88,238.58,229,235.67,234.78,0.89,0.3791,107466.66,2516817.784,0.003783616
300750.SZ,20201014,237,244,234.8,237.3,235.67,1.63,0.6916,137701.83,3291861.335,0.006892642
300750.SZ,20201015,241.11,244.1,237,238.6,237.3,1.3,0.5478,99535.26,2390083.998,0.005463346
300750.SZ,20201016,239.5,240,224.31,228.1,238.6,-10.5,-4.4007,203040.62,4680601.973,-0.04500438
300750.SZ,20201019,231.33,236.1,228,229.41,228.1,1.31,0.5743,130024.99,3013473.695,0.005726666
300750.SZ,20201020,230.63,241.6,228.94,241.6,229.41,12.19,5.3136,135966.34,3215157.955,0.05177267
300750.SZ,20201021,240.06,240.63,227.68,232.33,241.6,-9.27,-3.8369,161679.25,3765707.374,-0.039124691
300750.SZ,20201022,230.2,233.8,227,231.88,232.33,-0.45,-0.1937,90551.57,2083319.77,-0.001938778
300750.SZ,20201023,232.51,238.76,224.45,225,231.88,-6.88,-2.9671,115938.11,2675565.182,-0.030119594
300750.SZ,20201026,225.97,233.63,219.33,233.15,225,8.15,3.6222,108027.73,2483444.489,0.035581621
300750.SZ,20201027,235,238.7,232,237.21,233.15,4.06,1.7414,91015.39,2142729.17,0.017263801
300750.SZ,20201028,227.65,245.47,226.66,240.26,237.21,3.05,1.2858,224158.26,5333295.829,0.012775846
300750.SZ,20201029,237.02,244.02,232.32,240,240.26,-0.26,-0.1082,174352.3,4141992.876,-0.001082747
300750.SZ,20201030,241.02,256.6,238.3,247.17,240,7.17,2.9875,229587.47,5697363.353,0.029437436
300750.SZ,20201102,247,265.5,244.51,260.14,247.17,12.97,5.2474,189461.31,4851443.507,0.051143589
300750.SZ,20201103,260,260,247.18,256.02,260.14,-4.12,-1.5838,184566.65,4678655.503,-0.015964381
300750.SZ,20201104,255,260,250,255.55,256.02,-0.47,-0.1836,110616.72,2823450.164,-0.001837481
300750.SZ,20201105,261,268.5,260.96,268.5,255.55,12.95,5.0675,157959.24,4183384.889,0.049432829
300750.SZ,20201106,271.38,275.23,260,263.5,268.5,-5,-1.8622,156583.85,4181642.685,-0.018797546
300750.SZ,20201109,268,272.9,261.1,266.43,263.5,2.93,1.112,132285.7,3519918.484,0.011058177
300750.SZ,20201110,265.32,271.88,255.55,265.92,266.43,-0.51,-0.1914,144175.44,3798315.741,-0.001916033
300750.SZ,20201111,264.11,267.48,250.84,250.84,265.92,-15.08,-5.6709,157583.98,4067832.842,-0.058380226
300750.SZ,20201112,260,260,252.58,254.25,250.84,3.41,1.3594,97168.64,2484194.228,0.013502749
300750.SZ,20201113,258.12,260.77,253,253.21,254.25,-1.04,-0.409,113776.78,2916695.926,-0.004098851
300750.SZ,20201116,253.89,257.7,247.43,254.9,253.21,1.69,0.6674,123120.65,3117461.904,0.006652127
300750.SZ,20201117,257.3,260,246.5,250.68,254.9,-4.22,-1.6556,136748.53,3446644.846,-0.016694086
300750.SZ,20201118,250.12,252.06,236.82,240.5,250.68,-10.18,-4.061,192833.21,4666571.941,-0.041457136
300750.SZ,20201119,241.01,243.55,237.11,242.1,240.5,1.6,0.6653,97580.1,2347767.353,0.006630774
300750.SZ,20201120,244.49,253.6,244.48,252.08,242.1,9.98,4.1223,123034.62,3074188.105,0.040395634
300750.SZ,20201123,252.08,259.7,250.1,253,252.08,0.92,0.365,120912.93,3074248.59,0.003642991
300750.SZ,20201124,258,259.1,250.01,254.7,253,1.7,0.6719,97919.66,2493964.413,0.006696893
300750.SZ,20201125,256.6,256.88,244.4,246.22,254.7,-8.48,-3.3294,117098.94,2919290.534,-0.033860937
